"title","Start Date","End Date","body","quarter","building","room","sponsor","promote","nid","created","repeat"
"Week 6 Winter Quarter","2015-02-09 08:00:00","2015-02-09 08:00:00","","","","","","No","751","2015-10-06T13:38:07-07:00","<span class=""date-display-single"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-09T00:00:00-08:00"">Monday, February 9, 2015 (All day)</span>"
"Presidential Candidate - Tacoma Forum","2015-02-09 18:00:00 to 2015-02-09 19:00:00","2015-02-09 18:00:00 to 2015-02-09 19:00:00","<p>Dr. Margaret Madden, presidential candidate, will address the Tacoma program.</p>","","","The Evergreen State College Tacoma, Lyceum Hall","","No","874","2015-10-06T14:17:14-07:00","<span class=""date-display-single"">Monday, February 9, 2015 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-09T10:00:00-08:00"">10:00 am</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-09T11:00:00-08:00"">11:00 am</span></span></span>"
"Presidential Candidate - Open Forum","2015-02-09 20:00:00 to 2015-02-09 21:15:00","2015-02-09 20:00:00 to 2015-02-09 21:15:00","<p>Dr. Margaret Madden, presidential candidate, will speak to the campus community.</p>","","","The Evergreen State College, Communications Building Recital Hall","","No","880","2015-10-06T14:17:14-07:00","<span class=""date-display-single"">Monday, February 9, 2015 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-09T12:00:00-08:00"">12:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-09T13:15:00-08:00"">1:15 pm</span></span></span>"
"Presidential Candidate - Staff-Focused Forum","2015-02-09 21:30:00 to 2015-02-09 22:25:00","2015-02-09 21:30:00 to 2015-02-09 22:25:00","<p>Dr. Margaret Madden, presidential candidate, will address staff.</p>","","","The Evergreen State College, Communications Building Recital Hall","","No","876","2015-10-06T14:17:14-07:00","<span class=""date-display-single"">Monday, February 9, 2015 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-09T13:30:00-08:00"">1:30 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-09T14:25:00-08:00"">2:25 pm</span></span></span>"
"PUC Meeting","2015-02-09 23:00:00 to 2015-02-10 01:00:00","2015-02-09 23:00:00 to 2015-02-10 01:00:00","","","","Sem II D2109","","No","642","2015-10-06T13:37:27-07:00","<span class=""date-display-single"">Monday, February 9, 2015 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-09T15:00:00-08:00"">3:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-09T17:00:00-08:00"">5:00 pm</span></span></span>"
"Chico Mendes Reforestation Project Presentation","2015-02-09 23:00:00 to 2015-02-10 01:00:00","2015-02-09 23:00:00 to 2015-02-10 01:00:00","<p>From the greater contexts of environmental justice, climate change, and indigenous peoples' struggle for survival and sovereignty, this presentation will highlight the work of Community activist Jorge Armando Lopez Pocol and the Chico Mendez Reforestation Project in Pachaj, a Maya K'iche' village in Guatemala. This event is sponsored by the Black Cottonwood Collective.</p>","","","Longhouse 1007A","","No","1207","2015-10-06T14:28:17-07:00","<span class=""date-display-single"">Monday, February 9, 2015 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-09T15:00:00-08:00"">3:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-09T17:00:00-08:00"">5:00 pm</span></span></span>"
"Presidential Candidate - Faculty-Focused Forum","2015-02-09 23:00:00 to 2015-02-10 00:30:00","2015-02-09 23:00:00 to 2015-02-10 00:30:00","<p>Dr. Margaret Madden, presidential candidate, will address the faculty.</p>","","","The Evergreen State College, Communications Building Recital Hall","","No","879","2015-10-06T14:17:14-07:00","<span class=""date-display-single"">Monday, February 9, 2015 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-09T15:00:00-08:00"">3:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-09T16:30:00-08:00"">4:30 pm</span></span></span>"
"If Charlie Hebdo were published in the U.S. what would the First Amendment have to say?","2015-02-10 01:30:00 to 2015-02-10 03:00:00","2015-02-10 01:30:00 to 2015-02-10 03:00:00","<p>Aaron Caplan, Professor of Law at Loyola University and former staff attorney of the Washington State American Civil Liberties Union (ACLU), speaks as part of the Critical and Cultural Theory lecture series. Required of students in participating programs, this event is open to the campus community and is of interest to anyone curious about First Amendment law in educational settings.</p>","","","The Evergreen State College, Olympia, WA - Lecture Hall 1","","No","894","2015-10-06T14:17:14-07:00","<span class=""date-display-single"">Monday, February 9, 2015 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-09T17:30:00-08:00"">5:30 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-09T19:00:00-08:00"">7:00 pm</span></span></span>"
"Presidential Candidate - Evening, Weekend, and Emeritus Get-Together","2015-02-10 01:30:00 to 2015-02-10 02:30:00","2015-02-10 01:30:00 to 2015-02-10 02:30:00","<p>This is a drop-in hour to meet Dr. Margaret Madden, presidential candidate, in an informal setting.</p>","","","The Evergreen State College, Sem II, D2105","","No","875","2015-10-06T14:17:14-07:00","<span class=""date-display-single"">Monday, February 9, 2015 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-09T17:30:00-08:00"">5:30 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-09T18:30:00-08:00"">6:30 pm</span></span></span>"
"Presidential Candidate - Student-Focused Forum","2015-02-10 20:00:00 to 2015-02-10 20:55:00","2015-02-10 20:00:00 to 2015-02-10 20:55:00","<p>Dr. Margaret Madden, presidential candidate, will speak with students.</p>","","","The Evergreen State College, Communications Building Recital Hall","","No","877","2015-10-06T14:17:14-07:00","<span class=""date-display-single"">Tuesday, February 10, 2015 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-10T12:00:00-08:00"">12:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-10T12:55:00-08:00"">12:55 pm</span></span></span>"
"EGYHOP: Organizational History and Houselessness in Olympia","2015-02-11 00:00:00 to 2015-02-11 02:00:00","2015-02-11 00:00:00 to 2015-02-11 02:00:00","<p>In this talk, sponsored by the student group, Abolish Cops and Prisons, the Emma Goldman Youth and Homeless Outreach Project (EGYHOP) will be discussing the organization's history and houselessness in Olympia. EGYHOP provides direct aid to houseless people downtown (food, clothing) and runs a needle exchange program to help prevent the spread of needle borne disease.</p>","","","SEM 2 C1105","","No","1206","2015-10-06T14:28:17-07:00","<span class=""date-display-single"">Tuesday, February 10, 2015 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-10T16:00:00-08:00"">4:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-10T18:00:00-08:00"">6:00 pm</span></span></span>"
"Master of Environmental Studies Information Session","2015-02-11 01:00:00 to 2015-02-11 02:00:00","2015-02-11 01:00:00 to 2015-02-11 02:00:00","<p>Optional Class visit from 6-8PM</p>","","","The Evergreen State College, Seminar II Building","","No","905","2015-10-06T14:17:14-07:00","<span class=""date-display-single"">Tuesday, February 10, 2015 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-10T17:00:00-08:00"">5:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-10T18:00:00-08:00"">6:00 pm</span></span></span>"
"Unity Lounge After Hours Art Workshop","2015-02-11 02:00:00 to 2015-02-11 04:00:00","2015-02-11 02:00:00 to 2015-02-11 04:00:00","<p>sponsored by First Peoples Multicultural Advising Services</p>","","","The Unity Lounge - LIB 2147","","No","1344","2015-10-06T14:38:43-07:00","<span class=""date-display-single"">Tuesday, February 10, 2015 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-10T18:00:00-08:00"">6:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-10T20:00:00-08:00"">8:00 pm</span></span></span>"
"Art Lecture Series: Allison Cobb","2015-02-11 19:30:00 to 2015-02-11 21:00:00","2015-02-11 19:30:00 to 2015-02-11 21:00:00","<p>The Art Lecture Series takes place in Lecture Hall 1 at the Evergreen State College in Olympia, WA, 4-5 Wednesdays per quarter, from 11:30-1:00 pm. Free to the public, Evergreen’s visual arts programs offer an opportunity to hear local, national and international interdisciplinary artists speak about their work.</p> <p>Additional information is available at <a href=""http://blogs.evergreen.edu/artistlectureseries"">http://blogs.evergreen.edu/artistlectureseries</a>.</p>","","","The Evergreen State College, Olympia - Lecture Hall 1","","No","793","2015-10-06T14:14:04-07:00","<span class=""date-display-single"">Wednesday, February 11, 2015 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-11T11:30:00-08:00"">11:30 am</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-11T13:00:00-08:00"">1:00 pm</span></span></span>"
"Presidential Candidate - Open Forum","2015-02-11 20:00:00 to 2015-02-11 21:15:00","2015-02-11 20:00:00 to 2015-02-11 21:15:00","<p>Dr. George Bridges, presidential candidate, will speak to the campus community.</p>","","","The Evergreen State College, Communications Building Recital Hall","","No","873","2015-10-06T14:17:14-07:00","<span class=""date-display-single"">Wednesday, February 11, 2015 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-11T12:00:00-08:00"">12:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-11T13:15:00-08:00"">1:15 pm</span></span></span>"
"Presidential Candidate - Faculty-Focused Forum","2015-02-11 21:30:00 to 2015-02-11 23:00:00","2015-02-11 21:30:00 to 2015-02-11 23:00:00","<p>Dr. George Bridges, presidential candidate, will address the faculty.</p>","","","The Evergreen State College, Communications Building Recital Hall","","No","872","2015-10-06T14:17:14-07:00","<span class=""date-display-single"">Wednesday, February 11, 2015 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-11T13:30:00-08:00"">1:30 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-11T15:00:00-08:00"">3:00 pm</span></span></span>"
"FAFSA Filing Workshop","2015-02-11 22:00:00 to 2015-02-12 01:00:00","2015-02-11 22:00:00 to 2015-02-12 01:00:00","","","","LIB Computer Lab Room 2617","","No","1350","2015-10-06T14:38:43-07:00","<span class=""date-display-single"">Wednesday, February 11, 2015 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-11T14:00:00-08:00"">2:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-11T17:00:00-08:00"">5:00 pm</span></span></span>"
"Agenda Committee","2015-02-11 23:00:00 to 2015-02-12 01:00:00","2015-02-11 23:00:00 to 2015-02-12 01:00:00","","","","","","No","645","2015-10-06T13:37:39-07:00","<span class=""date-display-single"">Wednesday, February 11, 2015 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-11T15:00:00-08:00"">3:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-11T17:00:00-08:00"">5:00 pm</span></span></span>"
"Presidential Candidate - Student-Focused Forum","2015-02-11 23:00:00 to 2015-02-11 23:55:00","2015-02-11 23:00:00 to 2015-02-11 23:55:00","<p>Dr. George Bridges, presidential candidate, will speak with students.</p>","","","The Evergreen State College, Communications Building Recital Hall","","No","871","2015-10-06T14:17:14-07:00","<span class=""date-display-single"">Wednesday, February 11, 2015 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-11T15:00:00-08:00"">3:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-11T15:55:00-08:00"">3:55 pm</span></span></span>"
"MiT Information Workshop","2015-02-11 23:00:00 to 2015-02-12 01:00:00","2015-02-11 23:00:00 to 2015-02-12 01:00:00","<p>Learn the process to become a certified teacher in WA, and how to prepare for and apply to Evergreen's Master in Teaching program.</p>","","","Sem 2 E 3123","","No","914","2015-10-06T14:17:20-07:00","<span class=""date-display-single"">Wednesday, February 11, 2015 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-11T15:00:00-08:00"">3:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-11T17:00:00-08:00"">5:00 pm</span></span></span>"
"Housing Town Hall","2015-02-12 00:00:00 to 2015-02-12 01:00:00","2015-02-12 00:00:00 to 2015-02-12 01:00:00","","","","Housing Community Center, 4225 Driftwood Road Northwest, Olympia, WA 98505, United States","","No","974","2015-10-06T14:23:47-07:00","<span class=""date-display-single"">Wednesday, February 11, 2015 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-11T16:00:00-08:00"">4:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-11T17:00:00-08:00"">5:00 pm</span></span></span>"
"Presidential Candidate - Evening, Weekend, and Emeritus Get-Together","2015-02-12 01:30:00 to 2015-02-12 02:30:00","2015-02-12 01:30:00 to 2015-02-12 02:30:00","<p>This is a drop-in hour to meet Dr. George Bridges, presidential candidate, in an informal setting.</p>","","","The Evergreen State College, Sem II, D3105","","No","869","2015-10-06T14:17:14-07:00","<span class=""date-display-single"">Wednesday, February 11, 2015 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-11T17:30:00-08:00"">5:30 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-11T18:30:00-08:00"">6:30 pm</span></span></span>"
"Fred Beckey: The Mountains of North America","2015-02-12 03:30:00 to 2015-02-12 05:30:00","2015-02-12 03:30:00 to 2015-02-12 05:30:00","<p>Legendary Northwest mountaineer Fred Beckey will be visiting Olympia on February 11, 2015, at The Evergreen State College to present a multimedia program of photos, videos, and stories from his 75 years of making first ascents of the mountains of North America, including Alaska, Canada, the United States, and Mexico. The program will be at 7:30 p.m. in the Costantino Recreation Center (CRC) on the Evergreen campus. Sponsored by the Evergreen Outdoor Program. Admission is $5 for students and $10 for the general public. Parking is $2.</p>","","","The Evergreen State College, Olympia, WA - CRC","","No","796","2015-10-06T14:14:04-07:00","<span class=""date-display-single"">Wednesday, February 11, 2015 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-11T19:30:00-08:00"">7:30 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-11T21:30:00-08:00"">9:30 pm</span></span></span>"
"Presidential Candidate - Tacoma Forum","2015-02-12 18:00:00 to 2015-02-12 19:00:00","2015-02-12 18:00:00 to 2015-02-12 19:00:00","<p>Dr. George Bridges, presidential candidate, will address the Tacoma program.</p>","","","The Evergreen State College Tacoma, Lyceum Hall","","No","868","2015-10-06T14:17:14-07:00","<span class=""date-display-single"">Thursday, February 12, 2015 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-12T10:00:00-08:00"">10:00 am</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-12T11:00:00-08:00"">11:00 am</span></span></span>"
"Presidential Candidate - Staff-Focused Forum","2015-02-12 20:00:00 to 2015-02-12 20:55:00","2015-02-12 20:00:00 to 2015-02-12 20:55:00","<p>Dr. George Bridges, presidential candidate, will address staff.</p>","","","The Evergreen State College, Communications Building Recital Hall","","No","870","2015-10-06T14:17:14-07:00","<span class=""date-display-single"">Thursday, February 12, 2015 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-12T12:00:00-08:00"">12:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-12T12:55:00-08:00"">12:55 pm</span></span></span>"
"What the Bleep Happened to Hip Hop?","2015-02-13 02:00:00 to 2015-02-13 04:00:00","2015-02-13 02:00:00 to 2015-02-13 04:00:00","<p>What happened to this genre and culture that many of us identify with, listen to, and participate in?</p> <p>Shamako Noble, president and co-founder of the national Hip Hop Congress, will present and address this situation in his presentation of ""What Happened to Hip Hop?""</p> <p>""What Happened to Hip Hop?"" is part of a national campaign with the goal of:</p> <p>Developing a shared understanding of the role that corporations play in hijacking our society, politics and culture, specifically focusing on Hip Hop culture.</p> <p>More information here:<a href=""https://www.facebook.com/events/1545372682388650/"">https://www.facebook.com/events/1545372682388650/</a></p>","","","SEM 2 D1107","","No","1196","2015-10-06T14:28:17-07:00","<span class=""date-display-single"">Thursday, February 12, 2015 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-12T18:00:00-08:00"">6:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-12T20:00:00-08:00"">8:00 pm</span></span></span>"
"Shamako Noble: What the Bleep Happened to Hip Hop","2015-02-13 02:00:00 to 2015-02-13 04:00:00","2015-02-13 02:00:00 to 2015-02-13 04:00:00","<p>Shamako Noble is a hip hop artist, cultural organizer and political theorist from San Jose, California. As an artist, Shamako Noble has performed all over the United States and shared the stage with such acts as Talib Kwali, Zion-I, The Jacka, OneBeLo and many others. As an activist and organizer he is best known for his work with the Hip Hop Congress. Shamako is also currently serving as the National Coordinator for the United States Social Forum.</p>","","","The Evergreen State College, Olympia, WA - SEM2 - D1107","","No","788","2015-10-06T14:14:04-07:00","<span class=""date-display-single"">Thursday, February 12, 2015 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-12T18:00:00-08:00"">6:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-12T20:00:00-08:00"">8:00 pm</span></span></span>"
"Open Mic at the Bike Shop","2015-02-13 03:00:00 to 2015-02-13 06:15:00","2015-02-13 03:00:00 to 2015-02-13 06:15:00","<p>An Open Mic for music, art, poetry, performance, dance, storytelling, bike stories, and more!</p>","","","Bike Shop","","No","1195","2015-10-06T14:28:17-07:00","<span class=""date-display-single"">Thursday, February 12, 2015 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-12T19:00:00-08:00"">7:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-12T22:15:00-08:00"">10:15 pm</span></span></span>"
"Color Story","2015-02-13 03:00:00 to 2015-02-13 05:00:00","2015-02-13 03:00:00 to 2015-02-13 05:00:00","<p>Color Story is a solo exhibition featuring artwork from Laura Nelson and Franny Lilliston with collaborative and individual pieces centered around rocks, stones, and other natural ephemera.</p>","","","CAB 301","","No","1214","2015-10-06T14:28:17-07:00","<span class=""date-display-single"">Thursday, February 12, 2015 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-12T19:00:00-08:00"">7:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-12T21:00:00-08:00"">9:00 pm</span></span></span>"
"EF Birthday Party","2015-02-13 23:00:00 to 2015-02-14 01:00:00","2015-02-13 23:00:00 to 2015-02-14 01:00:00","","","","Housing Community Center, 4225 Driftwood Road Northwest, Olympia, WA 98505, United States","","No","971","2015-10-06T14:23:47-07:00","<span class=""date-display-single"">Friday, February 13, 2015 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-13T15:00:00-08:00"">3:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-13T17:00:00-08:00"">5:00 pm</span></span></span>"
"Lobbying 101 Workshop","2015-02-13 23:00:00 to 2015-02-14 01:00:00","2015-02-13 23:00:00 to 2015-02-14 01:00:00","<p>The Geoduck Student Union presents an action-oriented workshop on citizen lobbying at the state legislature. Chair of Slow Food of Greater Olympia, Loretta Seppanen will join Food and Water Watch campaign leader Victoria Leistman for this session that will give students the skills and knowledge necessary for direct political action.</p>","","","Lecture Hall 1","","No","1199","2015-10-06T14:28:17-07:00","<span class=""date-display-single"">Friday, February 13, 2015 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-13T15:00:00-08:00"">3:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-13T17:00:00-08:00"">5:00 pm</span></span></span>"
"Self-Empowerment Workshop (RADAR)","2015-02-14 02:00:00 to 2015-02-14 04:00:00","2015-02-14 02:00:00 to 2015-02-14 04:00:00","","","","RADAR","","No","972","2015-10-06T14:23:47-07:00","<span class=""date-display-single"">Friday, February 13, 2015 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-13T18:00:00-08:00"">6:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-13T20:00:00-08:00"">8:00 pm</span></span></span>"
"Geoducks @ Nite presents Murder Mystery: Lights, Camera, Murder!","2015-02-14 03:00:00 to 2015-02-14 05:00:00","2015-02-14 03:00:00 to 2015-02-14 05:00:00","<p>Costumes are encouraged for this creepy, Friday the 13th event. Sign up in the Greenery from 6:00pm-7:00pm.</p>","","","CAB 125","","No","1228","2015-10-06T14:28:25-07:00","<span class=""date-display-single"">Friday, February 13, 2015 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-13T19:00:00-08:00"">7:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-13T21:00:00-08:00"">9:00 pm</span></span></span>"
"Chibi Chibi Con","2015-02-14 20:00:00 to 2015-02-15 08:00:00","2015-02-14 20:00:00 to 2015-02-15 08:00:00","<p>Chibi Chibi Con is an annual anime convention hosted by the Giant Robot appreciation Society. Attendees come to this event from across (and even out of) state to watch anime, play video games, participate in contests and tournaments, attend workshops and panels. This even brings people together from all over to celebrate Japanese culture, anime, and cosplay.</p>","","","Multiple Locations in Library Building","","No","1203","2015-10-06T14:28:17-07:00","<span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-14T12:00:00-08:00"">Saturday, February 14, 2015 - 12:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-15T00:00:00-08:00"">Sunday, February 15, 2015 - 12:00 am</span></span>"
"Tea Service and Bake Sale","2015-02-14 20:00:00 to 2015-02-14 21:30:00","2015-02-14 20:00:00 to 2015-02-14 21:30:00","<p>Traditional tea seating service and bake sale silent auction.</p> <p>This event is sponsored by the Way of Tea club. This event is open to the public.</p>","","","Library 4th Floor","","No","1194","2015-10-06T14:28:17-07:00","<span class=""date-display-single"">Saturday, February 14, 2015 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-14T12:00:00-08:00"">12:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-14T13:30:00-08:00"">1:30 pm</span></span></span>"
"Shellfish Club Work Party","2015-02-15 03:00:00 to 2015-02-15 06:00:00","2015-02-15 03:00:00 to 2015-02-15 06:00:00","<p>Join the Shellfish Club at the F Lot trail head to suit up in boots, headlamps, and rain gear, then walk to the beach for oyster bag shaking, plot maintenance, and oyster shucking.</p>","","","F Lot-Beach Trail Head","","No","1210","2015-10-06T14:28:17-07:00","<span class=""date-display-single"">Saturday, February 14, 2015 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-14T19:00:00-08:00"">7:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-14T22:00:00-08:00"">10:00 pm</span></span></span>"
"Week 7 Winter Quarter","2015-02-16 08:00:00","2015-02-16 08:00:00","","","","","","No","733","2015-10-06T13:38:07-07:00","<span class=""date-display-single"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-16T00:00:00-08:00"">Monday, February 16, 2015 (All day)</span>"
"What's Up With the Legislature","2015-02-18 01:00:00 to 2015-02-18 04:00:00","2015-02-18 01:00:00 to 2015-02-18 04:00:00","<p>The Geoduck Student Union presents a meet and greet with Olympia's state legislators, Sam Hunt and Chris Reykda. Students have an opportunity to ask questions legislators, face to face!</p>","","","Lib 1001","","No","1186","2015-10-06T14:28:17-07:00","<span class=""date-display-single"">Tuesday, February 17, 2015 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-17T17:00:00-08:00"">5:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-17T20:00:00-08:00"">8:00 pm</span></span></span>"
"APIC Presents ""The Model Minority"" - Unity Lounge After Hours","2015-02-18 02:00:00 to 2015-02-18 04:00:00","2015-02-18 02:00:00 to 2015-02-18 04:00:00","<p>sponsored by First Peoples Multicultural Advising Services</p>","","","The Unity Lounge - LIB 2147","","No","1342","2015-10-06T14:38:43-07:00","<span class=""date-display-single"">Tuesday, February 17, 2015 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-17T18:00:00-08:00"">6:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-17T20:00:00-08:00"">8:00 pm</span></span></span>"
"CANCELLED - Hula Class","2015-02-18 02:00:00 to 2015-02-18 03:00:00","2015-02-18 02:00:00 to 2015-02-18 03:00:00","<p>APIC presents Hula Classes: traditional Hawaiian dance classes for all who are interested in learning about the culture.</p>","","","TV Lounge in Student Activities","","No","1182","2015-10-06T14:28:17-07:00","<span class=""date-display-single"">Tuesday, February 17, 2015 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-17T18:00:00-08:00"">6:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2015-02-17T19:00:00-08:00"">7:00 pm</span></span></span>"
