"Title","Abbreviated Building Name","Building History","Description","Official Name","Square Footage","Nid"
"Longhouse","
  
    LH  
","
  
    Date of Construction: 1995
Renovation Date: 2009 (Addition of archive storage and administration offices)
Architect: Jones and Jones  
","
  
    This building is designed after a Northwest Coast longhouse and is constructed from Olympic Peninsula cedar, douglas fir posts and beams, and metal. The interior has high vaulted, cedar covered ceilings and many built-in art pieces. It has the advantage of a full kitchen, (3) large classrooms with flexible wall systems allowing the users to change the size and configuration of the meeting rooms as desired. The large open spaces are often used by our local Native American programs. The 2009 renovation included an addition of administrative offices and updating of other academic spaces. There is an interior wood-burning fireplace along with an exterior covered patio with its own wood-burning fireplace.
Additional Information:

The Longhouse is the first building of its kind on any US college or university campus. Traditional longhouses served as the community center for families and villages up and down the Pacific Northwest. In a traditional longhouse you would find the post and beam structure you see in this longhouse, but it would be one room, with a fire pit in the middle and bench seating around the sides. The floor would be dirt with wood shavings on top. The Evergreen longhouse design is based on a traditional longhouse with modern features. This longhouse sits on Coast Salish land and so its appearance follows that tradition.

On the exterior entrance, the first thing you see is the Thunderbird. It was carved by Greg Colfax who is Makah and Andy Wilbur who is Skokomish. Greg was a visiting faculty member at Evergreen at the time and students in the Native Studies program worked with him on the sculpture. The Thunderbird is seen as the giver of knowledge and so its presence on the Longhouse here is appropriate.

When people think of Pacific Northwest Coast Native culture, they often think of totem poles. Poles are traditional of northern cultures that you'd find in BC and Alaska. In the Southern region among Salish people, welcome figures are carved and placed outside of the Longhouse. These figures on either side of the door have their hands outstretched in a gesture of welcome. The male figure is holding a platter which indicates food. At Longhouses, food was ALWAYS present! Greg Colfax and Andy Wilbur carved the welcome figures as well.  
","
  
    Longhouse Education and Cultural Center  
","
  
    14831  
","6933"
"Organic Farm Equipment Storage","
  
    FES  
","","","
  
    Organic Farm Equipment Storage  
","
  
    432  
","6940"
"Organic Farm Operations Bldg","
  
    OFO  
","
  
    Date of Construction: 1990  
","
  
    This facility houses the Organic Farm Manager office and a storage area for farm supplies and instructional resources, serves as a teaching space, and provides the space necessary to prepare the goods sold on campus at the market.  
","
  
    Organic Farm Operations Bldg  
","
  
    864  
","6941"
"Seminar I","
  
    SEM I  
","
  
    Date of Construction: 1974
Architect: The Bumgardner Partnership  
","
  
    This facility includes the campus health center and counseling services, small classrooms, faculty offices, and Police Services. The EF Language School is housed in this building.  
","
  
    Seminar Building Phase I  
","
  
    44910  
","6934"
"Seminar II","
  
    SEM II  
","
  
    Date of Construction: 2004
Architect: Mahlum Architects  
","
  
    This is a large multipurpose 5 cluster building with academic and support service space designed to support the college's teaching methodology. Included within the building are areas for the Public Service Centers, Evening and Weekend Studies Program and a small satellite cafe.  
","
  
    Seminar II  
","
  
    198775  
","6935"
"Shops","
  
    SHOPS  
","
  
    Date of Construction: 1970
Architect:Bennett & Johnson A.I.A. Associates  
","
  
    This facility house the vehicle key checkout office, sign-making studio, storage and wood working and metal shops.  
","
  
    Shops  
","
  
    1972  
","6938"
"Student Residences: A-D (First Year)","
  
    SRAD  
","
  
    Date of Construction: 1971-1972
Architect: The Bumgardner Partnership
Renovation Date: None  
","
  
    Phase I (A-D) : Four residence halls stand in a cluster around a courtyard about five minutes walk northeast of the major campus plaza buildings. The residence halls are constructed of reinforced concrete. ""A"" Building is ten stories tall, and buildings ""B"", ""C"", and ""D"" are five stories tall and very similar in design. ""A"" Building is the only facility that contains any traditional residence hall rooms, having single studios and double studios. The residence halls also contain three-, four-, and five-person apartments of varying floor plans. In 1997, ""A"" Building was retrofitted for fire system improvements which included installing a new fire alarm and sprinkler system. A new high security lock system was installed in 1996-97. Residential and Dining Services Offices are in A – 3rd Floor.  
","
  
    Student Residences: A-D (First Year)  
","
  
    108506  
","6944"
"Student Residences: E-U (Apartment Style)","
  
    SREU  
","
  
    Date of Construction: 1987
Architect: Michael and Lakeman AIA  
","
  
    These buildings are maintained by Housing Maintenance, with support of Facilities Services as requested. All wood structures and comprised of four- and six-bedroom apartments. All apartments include kitchen facilities. These units have access to community kitchens on the same floor. Laundry facilities are provided in the residence halls, the Mods and the Housing Community Center. Two recreation areas within the residence buildings are 'The Edge' located in A Building and 'The Far Side' located in the Mods. Both rooms have video and audio equipment as well as meeting and kitchen facilities. All rooms, except in the Mods, were equipped in 1997-98 with technology upgrades consisting of data connections, cable TV, and phone service provided by the college.  
","
  
    Student Residences: E-U (Apartment Style)  
","","6945"
"Student Residences: M301-M319 (Apartment Style)","
  
    SRM  
","
  
    Date of Construction: 1971
Architect: St. Regis Fabricated Structures  
","
  
     A complex of 19 modular duplexes is located a 15 minute walk east of the central campus Core. These buildings are maintained by Housing Maintenance, with support of Facilities Services as requested. The Mods, originally designed as temporary structures, are constructed of wood and have a more residential atmosphere than the residence halls.Each Mod contains two two-bedroom apartments housing five students each.  
","
  
    Student Residences: M301-M319 (Apartment Style)  
","
  
    1971  
","6946"
"Sustainable Agricultural Lab","
  
    SAL  
","
  
    Date of Construction: 2011
Architect: HKP Architects, Mount Vernon, WA  
","
  
    The Sustainable Agriculture Lab was designed as a partnership between Evergreen students in the 2009-2010 Environmental Design program and the architects. It is a wood framed building that contains many innovative design features and built-in capabilities, including: rainwater runoff treatment and infiltration, small building footprint, preservation of existing trees, fallen trees used for mushroom production, optimization of daylight through design and electrical light switching, Structural Integrated Panels (SIPs) used for the ceiling, Forest Stewardship Council (FSC) certified sustainable wood products used, permeable gravel used instead of paving for walkways, minimized parking with the addition of a walking / biking trail from the main campus parking lots, building envelope: a) is beyond code requirement for insulation. b) uses spray-on cellulose wall insulation and c) was blower door tested to find air infiltration leaks, and future “Net-Zero” features have been planned and infrastructure is in place for: a) rainwater harvesting, b) compost (or other alternative fuels) heat recovery, C) solar hot water, d) future lecture space, e) greywater reuse and f) photovoltaic on-site power generation.  
","
  
    Sustainable Agricultural Lab  
","
  
    2002  
","6943"
